,Player,NBA_Season,Pos,Age,Tm,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Label,WAR
157,D'Angelo Russell,2016,PG,19,LAL,80,2259,13.2,0.507,0.387,0.19899999999999998,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,-0.7,0.7,0.0,0.001,-0.2,-1.7,-1.8,0.1,1,0.27
158,Delon Wright,2016,PG,23,TOR,27,229,17.8,0.54,0.163,0.43799999999999994,4.1,14.3,9.3,22.5,1.8,1.1,14.4,22.1,0.3,0.2,0.6,0.124,-0.1,-0.6,-0.7,0.1,1,0.27
159,Richaun Holmes,2016,PF,22,PHI,51,702,15.9,0.564,0.198,0.33299999999999996,9.3,11.7,10.5,8.0,1.3,4.3,11.2,17.9,1.0,0.5,1.5,0.10300000000000001,-1.0,0.0,-0.9,0.2,1,0.54
160,Frank Kaminsky,2016,C,22,CHO,81,1708,12.5,0.513,0.385,0.282,4.4,17.2,10.7,9.0,1.1,2.0,8.9,17.1,1.2,2.1,3.3,0.09300000000000001,-1.6,0.4,-1.2,0.3,1,0.81
161,Norman Powell,2016,SG,22,TOR,49,725,13.3,0.541,0.389,0.231,2.6,14.8,8.8,10.4,2.1,1.1,11.3,17.8,0.7,0.9,1.6,0.105,-0.3,-0.1,-0.4,0.3,1,0.81
162,Rondae Hollis-Jefferson,2016,SF,21,BRK,29,615,14.2,0.519,0.10099999999999999,0.377,7.0,21.4,14.1,10.1,3.2,2.1,13.9,13.5,0.5,0.7,1.2,0.094,-1.4,2.6,1.2,0.5,1,1.35
163,Josh Richardson,2016,SG,22,MIA,52,1107,11.4,0.569,0.423,0.23199999999999998,2.2,8.5,5.5,9.7,1.7,1.7,10.5,13.8,1.3,1.2,2.5,0.109,0.2,0.4,0.6,0.7,1,1.89
164,Justise Winslow,2016,SF,19,MIA,78,2232,8.4,0.489,0.251,0.253,4.2,15.8,10.2,7.4,1.6,0.9,15.6,12.5,-0.2,2.7,2.5,0.054000000000000006,-2.2,1.6,-0.6,0.8,1,2.16
165,Willie Cauley-Stein,2016,C,22,SAC,66,1412,15.3,0.588,0.006,0.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,2.4,1.4,3.8,0.13,-0.8,1.5,0.7,1.0,1,2.7
166,Kristaps Porzingis,2016,PF,20,NYK,72,2047,17.7,0.518,0.27399999999999997,0.271,7.1,20.7,14.0,7.9,1.3,5.0,10.9,24.6,1.5,2.9,4.4,0.102,-0.8,0.9,0.2,1.1,1,2.9700000000000006
167,Nikola Jokic,2016,C,20,DEN,80,1733,21.5,0.5820000000000001,0.14,0.317,11.4,24.7,17.9,18.1,2.3,2.3,13.2,19.9,4.5,2.2,6.7,0.185,2.6,2.2,4.8,3.0,1,8.100000000000001
168,Karl-Anthony Towns,2016,C,20,MIN,82,2627,22.5,0.59,0.076,0.239,10.3,27.5,19.0,11.3,1.1,4.3,12.6,24.9,5.5,2.8,8.3,0.151,1.6,1.1,2.8,3.2,1,8.64
169,Juan Hernangomez,2017,PF,21,DEN,62,842,13.4,0.5920000000000001,0.504,0.33899999999999997,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,1.2,0.6,1.8,0.10400000000000001,-0.1,-1.2,-1.3,0.1,1,0.27
170,Thon Maker,2017,C,19,MIL,57,562,14.0,0.5579999999999999,0.409,0.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7,17.8,0.8,0.5,1.3,0.113,-0.5,-1.0,-1.5,0.1,1,0.27
171,Patrick McCaw,2017,SG,21,GSW,71,1074,8.6,0.54,0.502,0.151,2.3,7.6,5.1,9.0,1.4,1.1,12.1,11.9,0.5,1.2,1.7,0.077,-1.6,-0.2,-1.8,0.1,1,0.27
172,Marquese Chriss,2017,PF,19,PHO,82,1743,12.3,0.529,0.354,0.28600000000000003,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,0.3,1.5,1.8,0.05,-1.6,0.0,-1.6,0.2,1,0.54
173,Jakob Poeltl,2017,C,21,TOR,54,626,12.2,0.589,0.0,0.496,14.1,15.7,14.9,2.7,1.4,2.8,17.2,12.1,0.9,0.7,1.6,0.125,-1.2,0.5,-0.7,0.2,1,0.54
174,Pascal Siakam,2017,PF,22,TOR,55,859,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.4,1.2,1.6,0.08900000000000001,-3.0,1.9,-1.1,0.2,1,0.54
175,Caris LeVert,2017,SF,22,BRK,57,1237,12.3,0.556,0.484,0.245,2.0,13.9,8.0,13.7,1.9,0.5,12.3,16.6,0.8,1.0,1.8,0.07,-0.7,-0.4,-1.1,0.3,1,0.81
176,Willy Hernangomez,2017,C,22,NYK,72,1324,19.0,0.564,0.032,0.26899999999999996,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,1.8,1.6,3.4,0.12300000000000001,-0.6,0.6,0.0,0.7,1,1.89
177,Malcolm Brogdon,2017,SG,24,MIL,75,1982,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,0.1,0.6,-1.1,-0.5,0.8,1,2.16
178,Joel Embiid,2017,C,22,PHI,31,786,24.1,0.584,0.228,0.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,0.5,1.5,1.9,0.11699999999999999,0.0,3.2,3.1,1.0,1,2.7
