,Player,NBA_Season,Pos,Age,Tm,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Label,WAR
37,Edmond Sumner,2018,PG,22,IND,1,2,39.8,1.0,0.0,0.0,0.0,56.1,28.2,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,0.425,4.6,-9.9,-5.3,0.0,0,0.0
38,Tyrone Wallace,2018,PG,23,LAC,30,851,10.1,0.517,0.162,0.316,2.7,10.7,6.8,11.8,1.5,1.3,14.1,16.6,0.2,0.5,0.7,0.042,-2.1,0.2,-2.0,0.0,0,0.0
39,D.J. Wilson,2018,PF,21,MIL,22,71,10.3,0.622,0.313,0.125,3.3,13.2,8.3,6.1,2.1,1.2,19.2,13.3,0.0,0.1,0.1,0.054000000000000006,-2.9,-1.2,-4.1,0.0,0,0.0
40,Dakari Johnson,2018,C,22,OKC,31,161,16.4,0.575,0.0,0.513,10.7,12.8,11.7,7.2,1.8,4.5,5.9,13.5,0.4,0.2,0.6,0.17800000000000002,-0.9,1.2,0.3,0.1,1,0.27
41,Lauri Markkanen,2018,PF,20,CHI,68,2020,15.6,0.552,0.465,0.193,4.0,23.7,13.5,6.4,0.9,1.8,8.2,21.9,1.7,1.6,3.3,0.079,-0.6,-1.3,-1.9,0.1,1,0.27
42,Ivan Rabb,2018,PF,20,MEM,36,516,16.6,0.599,0.0,0.237,11.6,24.1,17.7,10.4,1.2,2.4,17.3,17.7,0.7,0.5,1.2,0.109,-1.7,0.3,-1.5,0.1,1,0.27
43,Sindarius Thornwell,2018,SG,23,LAC,73,1156,8.2,0.519,0.262,0.37799999999999995,3.2,10.0,6.7,7.8,2.0,1.8,16.3,12.1,0.1,0.9,1.0,0.040999999999999995,-2.6,1.0,-1.6,0.1,1,0.27
44,Derrick White,2018,PG,23,SAS,17,139,15.9,0.6459999999999999,0.39399999999999996,0.606,4.0,16.9,10.4,9.3,1.5,1.8,12.6,15.4,0.3,0.2,0.5,0.17,0.0,0.5,0.5,0.1,1,0.27
45,Guerschon Yabusele,2018,PF,22,BOS,33,235,12.3,0.5589999999999999,0.607,0.361,8.0,16.1,12.1,10.0,0.9,1.8,14.5,15.7,0.3,0.3,0.6,0.122,-1.0,0.2,-0.7,0.1,1,0.27
46,Ante Zizic,2018,C,21,CLE,32,214,24.2,0.746,0.0,0.433,12.8,18.6,15.7,3.8,0.5,5.2,12.1,18.8,0.9,0.2,1.0,0.231,1.3,-1.2,0.1,0.1,1,0.27
